番号,種類,幅cm,高さcm,窓台高さcm,材質,材質その他,写真枚数,メモ
D01,ドア,88,174,,ガラス,,2,玄関
D02,ドア,75,175,,ガラス,,2,外は地面から65cm
D03,ドア,90,175,,ガラス,,2,
D04,ドア,96,184,,ガラス,,1,外は地面から67cm
W01,窓,95,86,84,ガラス,,3,
W02,窓,43,71,110,ガラス,,2,洗面所
W03,窓,75,70,118,ガラス,,3,キッチン
W04,窓,45,59,115,ガラス,,2,トイレの外
W05,窓,37,44,127,ガラス,,2,
W06,窓,45,45,127,ガラス,,2,
W07,窓,33,44,120,ガラス,,2,
W08,窓,63,74,110,ガラス,,2,
D05,ドア,97,179,,ガラス,,2,納戸
W09,窓,85,120,60,ガラス,,2,廊下
W10,窓,55,85,96,ガラス,,2,
D06,ドア,78,182,,アルミサッシ,,2,アルミサッシにガラス付き
W11,窓,75,84,105,ガラス,,3,外の地面からは137センチメートル
D07,ドア,86,180,,アルミサッシ,,2,アルミサッシとガラス
